A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,class
0.0,22.67,7.0,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,29.58,1.75,1.0,4.0,4.0,1.25,0.0,0.0,0.0,1.0,2.0,280.0,1.0,0
0.0,21.67,11.5,1.0,5.0,3.0,0.0,1.0,1.0,11.0,1.0,2.0,0.0,1.0,1
0.0,15.83,0.585,2.0,8.0,8.0,1.5,1.0,1.0,2.0,0.0,2.0,100.0,1.0,1
0.0,58.67,4.46,2.0,11.0,8.0,3.04,1.0,1.0,6.0,0.0,2.0,43.0,561.0,1
0.0,55.75,7.08,2.0,4.0,8.0,6.75,1.0,1.0,3.0,1.0,2.0,100.0,51.0,0
0.0,18.92,9.0,2.0,6.0,4.0,0.75,1.0,1.0,2.0,0.0,2.0,88.0,592.0,1
0.0,22.42,5.665,2.0,11.0,4.0,2.585,1.0,1.0,7.0,0.0,2.0,129.0,3258.0,1
0.0,28.17,0.585,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,260.0,1005.0,0
0.0,19.17,0.585,1.0,6.0,4.0,0.585,1.0,0.0,0.0,1.0,2.0,160.0,1.0,0
0.0,30.67,12.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,220.0,20.0,1
0.0,20.42,10.5,1.0,14.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,154.0,33.0,0
0.0,47.75,8.0,2.0,8.0,4.0,7.875,1.0,1.0,6.0,1.0,2.0,0.0,1261.0,1
0.0,47.42,3.0,2.0,14.0,4.0,13.875,1.0,1.0,2.0,1.0,2.0,519.0,1705.0,1
0.0,20.75,10.25,2.0,11.0,4.0,0.71,1.0,1.0,2.0,1.0,2.0,49.0,1.0,1
0.0,24.5,1.75,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,132.0,1.0,0
0.0,29.5,2.0,1.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,256.0,18.0,0
0.0,52.83,15.0,2.0,8.0,4.0,5.5,1.0,1.0,14.0,0.0,2.0,0.0,2201.0,1
0.0,37.33,2.5,2.0,3.0,8.0,0.21,0.0,0.0,0.0,0.0,2.0,260.0,247.0,0
0.0,23.75,0.71,2.0,9.0,4.0,0.25,0.0,1.0,1.0,1.0,2.0,240.0,5.0,0
0.0,40.83,3.5,2.0,3.0,5.0,0.5,0.0,0.0,0.0,0.0,1.0,1160.0,1.0,0
0.0,24.5,0.5,2.0,11.0,8.0,1.5,1.0,0.0,0.0,0.0,2.0,280.0,825.0,1
0.0,19.5,0.165,2.0,11.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,380.0,1.0,0
0.0,30.42,1.375,2.0,9.0,8.0,0.04,0.0,1.0,3.0,0.0,2.0,0.0,34.0,0
0.0,32.17,1.46,2.0,9.0,4.0,1.085,1.0,1.0,16.0,0.0,2.0,120.0,2080.0,1
0.0,35.17,3.75,2.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,201.0,0
0.0,18.58,10.0,2.0,2.0,4.0,0.415,0.0,0.0,0.0,0.0,2.0,80.0,43.0,0
0.0,24.75,13.665,2.0,11.0,8.0,1.5,0.0,0.0,0.0,0.0,2.0,280.0,2.0,0
0.0,47.0,13.0,2.0,3.0,5.0,5.165,1.0,1.0,9.0,1.0,2.0,0.0,1.0,1
0.0,18.17,10.0,1.0,11.0,8.0,0.165,0.0,0.0,0.0,0.0,2.0,340.0,1.0,0
0.0,38.92,1.665,2.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,391.0,0
0.0,17.33,9.5,2.0,6.0,4.0,1.75,0.0,1.0,10.0,1.0,2.0,0.0,11.0,0
0.0,20.42,0.835,2.0,11.0,4.0,1.585,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1
0.0,39.08,4.0,2.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,480.0,1.0,0
0.0,25.0,0.875,2.0,14.0,8.0,1.04,1.0,0.0,0.0,1.0,2.0,160.0,5861.0,1
0.0,49.83,13.585,2.0,4.0,8.0,8.5,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1
0.0,35.75,0.915,2.0,6.0,4.0,0.75,1.0,1.0,4.0,0.0,2.0,0.0,1584.0,1
0.0,20.75,10.335,2.0,13.0,8.0,0.335,1.0,1.0,1.0,1.0,2.0,80.0,51.0,1
0.0,38.75,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,1.0,0
0.0,57.08,19.5,2.0,8.0,4.0,5.5,1.0,1.0,7.0,0.0,2.0,0.0,3001.0,1
0.0,31.25,3.75,2.0,13.0,8.0,0.625,1.0,1.0,9.0,1.0,2.0,181.0,1.0,1
0.0,58.33,10.0,2.0,11.0,4.0,4.0,1.0,1.0,14.0,0.0,2.0,0.0,1603.0,1
0.0,46.0,4.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0,961.0,1
0.0,24.75,12.5,2.0,6.0,4.0,1.5,1.0,1.0,12.0,1.0,2.0,120.0,568.0,1
0.0,20.83,0.5,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,1.0,0
0.0,26.5,2.71,1.0,8.0,4.0,0.085,0.0,0.0,0.0,0.0,1.0,80.0,1.0,0
0.0,38.33,4.415,2.0,8.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,46.08,3.0,2.0,8.0,4.0,2.375,1.0,1.0,8.0,1.0,2.0,396.0,4160.0,1
0.0,22.25,1.25,1.0,1.0,1.0,3.25,0.0,0.0,0.0,0.0,2.0,280.0,1.0,0
0.0,16.5,1.25,2.0,11.0,4.0,0.25,0.0,1.0,1.0,0.0,2.0,108.0,99.0,0
0.0,68.67,15.0,2.0,10.0,9.0,0.0,1.0,1.0,14.0,0.0,2.0,0.0,3377.0,1
0.0,15.92,2.875,2.0,11.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,120.0,1.0,0
0.0,47.42,8.0,2.0,10.0,5.0,6.5,1.0,1.0,6.0,0.0,2.0,375.0,51101.0,1
0.0,33.08,1.625,2.0,2.0,4.0,0.54,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0
0.0,22.5,8.46,1.0,14.0,4.0,2.46,0.0,0.0,0.0,0.0,2.0,164.0,1.0,1
0.0,27.67,1.5,2.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,368.0,1.0,0
0.0,18.92,9.25,1.0,8.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,80.0,501.0,1
0.0,23.5,9.0,2.0,11.0,4.0,8.5,1.0,1.0,5.0,1.0,2.0,120.0,1.0,1
0.0,56.83,4.25,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0
0.0,53.33,0.165,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,28.0,0
0.0,33.75,0.75,2.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,212.0,1.0,0
0.0,29.75,0.665,2.0,9.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,300.0,1.0,0
0.0,23.0,1.835,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,200.0,54.0,0
0.0,28.58,3.54,2.0,3.0,5.0,0.5,1.0,0.0,0.0,1.0,2.0,171.0,1.0,0
0.0,18.75,7.5,2.0,11.0,4.0,2.71,1.0,1.0,5.0,0.0,2.0,184.0,26727.0,1
0.0,16.08,0.335,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,160.0,127.0,0
0.0,20.33,10.0,2.0,8.0,8.0,1.0,1.0,1.0,4.0,0.0,2.0,50.0,1466.0,1
0.0,21.75,1.75,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,25.33,2.085,2.0,8.0,8.0,2.75,1.0,0.0,0.0,1.0,2.0,360.0,2.0,0
0.0,24.75,3.0,2.0,11.0,8.0,1.835,1.0,1.0,19.0,0.0,2.0,0.0,501.0,1
0.0,40.33,8.125,1.0,4.0,4.0,0.165,0.0,1.0,2.0,0.0,2.0,184.0,19.0,0
0.0,29.5,0.46,2.0,4.0,4.0,0.54,1.0,1.0,4.0,0.0,2.0,380.0,501.0,1
0.0,26.58,2.54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,180.0,61.0,0
0.0,33.08,4.625,2.0,11.0,8.0,1.625,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1
0.0,30.5,6.5,2.0,8.0,5.0,4.0,1.0,1.0,7.0,1.0,2.0,0.0,3066.0,1
0.0,22.83,2.29,2.0,11.0,8.0,2.29,1.0,1.0,7.0,1.0,2.0,140.0,2385.0,1
0.0,20.67,3.0,2.0,11.0,4.0,0.165,1.0,1.0,3.0,0.0,2.0,100.0,7.0,1
