Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,class
1.0,48.0,1.0,0.0,5951.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
1.0,12.0,1.0,3.0,1295.0,1.0,4.0,3.0,1.0,0.0,1.0,3.0,25.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1
0.0,48.0,1.0,5.0,4308.0,1.0,4.0,3.0,1.0,0.0,4.0,1.0,24.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1
1.0,12.0,1.0,0.0,1567.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,15.0,1.0,3.0,1403.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0,28.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0
0.0,24.0,1.0,0.0,1282.0,4.0,1.0,4.0,1.0,0.0,2.0,3.0,32.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1
1.0,24.0,1.0,4.0,12579.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,44.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1
3.0,12.0,4.0,0.0,409.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,42.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0
3.0,12.0,1.0,2.0,1474.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,33.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0
0.0,48.0,0.0,4.0,6143.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,58.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1
2.0,11.0,0.0,3.0,1393.0,1.0,4.0,4.0,1.0,0.0,4.0,3.0,35.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0
0.0,6.0,1.0,4.0,1352.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,23.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0
2.0,12.0,1.0,0.0,2073.0,4.0,1.0,4.0,1.0,2.0,2.0,0.0,28.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2.0,36.0,0.0,0.0,9566.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,31.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0
3.0,18.0,1.0,3.0,1961.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,23.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0
0.0,36.0,0.0,2.0,6229.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,23.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1
2.0,24.0,1.0,0.0,3181.0,1.0,4.0,4.0,1.0,0.0,4.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2.0,12.0,1.0,0.0,2171.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,29.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2.0,36.0,1.0,0.0,2394.0,0.0,1.0,4.0,1.0,0.0,4.0,3.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2.0,36.0,1.0,4.0,8133.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,30.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1.0,42.0,0.0,5.0,5954.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,41.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0
2.0,24.0,1.0,0.0,5943.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,44.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1
2.0,18.0,1.0,5.0,1568.0,4.0,1.0,3.0,1.0,0.0,4.0,1.0,24.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0
0.0,24.0,1.0,8.0,1755.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,58.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
2.0,12.0,0.0,5.0,1412.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,29.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0
1.0,18.0,0.0,2.0,1295.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,27.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0
2.0,12.0,0.0,0.0,797.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,33.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1
2.0,12.0,0.0,1.0,2012.0,0.0,2.0,4.0,1.0,0.0,2.0,3.0,61.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2.0,6.0,2.0,0.0,932.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,24.0,1.0,2.0,7721.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
3.0,15.0,1.0,1.0,392.0,1.0,4.0,4.0,1.0,0.0,4.0,1.0,23.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0
2.0,36.0,0.0,3.0,7855.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,25.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1
0.0,42.0,1.0,0.0,7174.0,0.0,2.0,4.0,1.0,0.0,3.0,3.0,30.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1
0.0,10.0,0.0,2.0,2132.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,27.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0
0.0,33.0,0.0,2.0,4281.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,23.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1
0.0,21.0,1.0,0.0,1835.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,25.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1
2.0,24.0,0.0,4.0,3868.0,1.0,0.0,4.0,1.0,0.0,2.0,3.0,41.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0
1.0,18.0,1.0,2.0,1924.0,0.0,4.0,4.0,1.0,0.0,3.0,0.0,27.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1
0.0,12.0,0.0,3.0,3499.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,29.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1
1.0,48.0,1.0,3.0,8487.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2.0,60.0,1.0,0.0,10144.0,4.0,2.0,2.0,1.0,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2.0,12.0,0.0,0.0,1240.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,38.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0
3.0,12.0,1.0,0.0,1881.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,44.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0
1.0,36.0,1.0,0.0,4795.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,30.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0
2.0,21.0,0.0,2.0,2288.0,1.0,4.0,4.0,1.0,0.0,4.0,1.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,6.0,0.0,3.0,860.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,39.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0
2.0,12.0,0.0,3.0,682.0,4.0,2.0,4.0,1.0,0.0,3.0,3.0,51.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0
1.0,24.0,0.0,4.0,7758.0,3.0,0.0,2.0,1.0,0.0,4.0,2.0,29.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0
0.0,12.0,1.0,2.0,1282.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0,20.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1
2.0,18.0,0.0,3.0,1055.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,30.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0
